Gene	JK_A2_1_ERCC_S26	JK_A2_2_ERCC_S27	JK_A2_3_ERCC_S28	JK_A2_4_ERCC_S29	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S1_2_ERCC_S22	JK_S1_3_ERCC_S23	JK_S2_2_ERCC_S24	JK_S2_3_ERCC_S25
VEGFB	20.648406603759202	20.583277941945017	20.77202491635205	22.490636111290026	23.22181851066552	23.16513176988496	44.67124952512042	48.18854021426465	35.136949844669346	35.64651731998076
RAPGEF2	7.77885260903986	7.907872040369063	7.739787542735204	8.558610249343579	8.190102464696272	8.407998455830088	10.301510007292721	10.47391703026819	9.416412414361961	9.201126648168136
PLEKHA5	3.7296335728604357	3.487496600265979	3.3690891509564533	3.92544098642245	3.8105287687336196	3.577052342890001	3.183553516589212	3.1224224149499116	3.6098409453028317	3.770924185274751
SYVN1	11.056547272195594	11.429724054187322	11.3020553291459	11.557962279807946	11.709539422473123	11.501097877407181	10.458948497509796	12.000135681430558	9.954235271858018	9.588681212151052
ZNF92	19.125222407080578	17.78062677227155	17.190167940101706	15.174155287717936	13.104690333502052	13.80232486668244	18.733536556677116	12.545082849693586	16.902087433974764	19.6570129181288
AC048341.2	2.248299008353773	1.9518369783908263	1.80911530921225	1.8128121401494872	2.243554003258036	2.444448895462543	3.066093438233833	2.1288086693363755	1.600986398391578	1.857352289580494
P2RY11	9.762669453115588	9.252435270460266	9.780719354701922	10.335043728440755	10.483017867589131	9.877206295160372	3.9508072865488533	3.539133150255334	6.016187555006148	6.2330466060248275
MRPS35	47.07783237940557	44.74410760009471	43.669099259716084	40.50868285300237	39.340366504716	41.09180390244013	26.339234609912513	23.38452581914883	35.15222686490608	35.60670918404153
SPATA6	2.2156994966146173	2.088268517575621	2.0972927690833947	2.3515246616141017	2.2652354817176157	2.181956177392353	1.9057622549992292	1.6544495010925278	2.2493339309886915	2.1632658615610225
PRELID1	114.42836391925614	112.65306405775911	117.49485796207016	113.58931849021255	123.91401962514743	117.69465371589828	53.58846983415164	53.07795044265736	84.06182043149178	89.43701119048757
ARMC1	29.928357155201713	28.363028392391666	28.375471092963803	25.12893916035507	25.33089179810815	25.8715038987099	24.717718444187796	20.876651266487418	26.54758454560982	27.84607195682488
AC132938.2	1.1499112636476068	1.6147095804383491	1.7477645238419737	1.5049843781869052	1.4836161826258527	1.1642388434209168	1.072259172487758	0.7062466598947028	0.8044722589578732	0.9685849399013312
AL031733.2	1.0573896677219372	1.0585877636321728	0.9608609608587754	1.1657429530375891	1.1047736437210942	1.2308135216362084	2.019570189322959	2.4017425057061237	2.0989797685736256	1.653141404789064
SPTLC2	14.553519702226621	14.70359243725565	14.594520963488218	13.50198830275652	13.875661618406557	13.893561104494164	9.66234441765294	8.750285352989634	13.003045687839306	13.035583033876305
AC123912.3	4.088199518161939	3.7006887159574804	4.0747829898772805	3.411339864444976	3.4675594026990484	3.498058851217465	20.190161740917986	18.48537343894109	15.344579026543112	16.39361759178
