term	gene
H_Blood_Normal_CirculatingFetalCell_24217417	SMAD3
H_Blood_Normal_CirculatingFetalCell_24217417	SMC3
H_Blood_Normal_CirculatingFetalCell_24217417	SOX13
H_Blood_Normal_CirculatingFetalCell_24217417	TCF3
H_Blood_Normal_CirculatingFetalCell_24217417	TNC
H_Brain_Normal_NeuralProgenitorCell_24604282	NGFR
H_Brain_Normal_NeuralProgenitorCell_24604282	GFAP
H_Embryo_Normal_AstroglialProgenitorCell_24470547	PBXIP1
H_Undefined_ColorectalCancer_CancerStemCell_29100318	FLT1
H_Skin_Normal_EndothelialCell_28135608	PECAM1
H_Skin_Normal_EndothelialCell_28135608	VWF
H_Undefined_Leukemia_CancerStemCell_24689055	CD34
H_Undefined_Leukemia_CancerStemCell_24689055	CD38
H_Undefined_PancreaticCancer_CancerStemCell_24689055	PROM1
H_Undefined_PancreaticCancer_CancerStemCell_24689055	CD24
H_Undefined_PancreaticCancer_CancerStemCell_24689055	CD44
H_Undefined_Normal_EndothelialCell_25001945	PECAM1
H_PeripheralBlood_Normal_NaturalKillerCell_28952190	ITGA1
H_PeripheralBlood_Normal_NaturalKillerCell_28952190	CXCR6
H_Undefined_ProstateCancer_PanethCell_25031776	AMACR
H_Undefined_Glioblastoma_CancerStemCell_29392691	PROM1
H_Thymus_Normal_EpithelialCell_24768153	EPCAM
H_Thymus_Normal_EpithelialCell_24768153	FZD4
H_Thymus_Normal_EpithelialCell_24768153	KRT8
H_Thymus_Normal_EpithelialCell_24768153	WNT4
H_BloodVessel_Normal_MesenchymalStromalCell_25244528	THY1
H_Liver_Normal_Hepatoblast_24238062	PTPRC
H_Liver_Normal_Hepatoblast_24238062	TFRC
H_Liver_Normal_Hepatoblast_24238062	DLK1
H_Liver_Normal_Hepatoblast_24238062	PDGFRA
H_Liver_Normal_Hepatoblast_24238062	NA
H_Liver_Normal_MesenchymalCell_24238062	PTPRC
H_Liver_Normal_MesenchymalCell_24238062	TFRC
H_Liver_Normal_MesenchymalCell_24238062	DLK1
H_Liver_Normal_MesenchymalCell_24238062	PDGFRA
H_Liver_Normal_MesenchymalCell_24238062	NA
H_Liver_Normal_EndothelialCell_24238062	PTPRC
H_Liver_Normal_EndothelialCell_24238062	TFRC
H_Liver_Normal_EndothelialCell_24238062	DLK1
H_Liver_Normal_EndothelialCell_24238062	KDR
H_Liver_Normal_EndothelialCell_24238062	NA
H_Liver_Normal_HematopoieticCell_24238062	PTPRC
H_Liver_Normal_HematopoieticCell_24238062	TFRC
H_Liver_Normal_HematopoieticCell_24238062	NA
H_Liver_HepatocellularCancer_CancerStemCell_28034805	PROM1
H_Undefined_HepatocellularCancer_CancerStemCell_28789425	CXCR4
H_SynovialFluid_Normal_MesenchymalStemCell_29068101	THY1
H_Liver_Normal_Cd4+TCell_27781378	CD3D
H_Liver_Normal_Cd4+TCell_27781378	CD3E
H_Liver_Normal_Cd4+TCell_27781378	CD3G
H_Liver_Normal_Cd4+TCell_27781378	CD4
H_Liver_Normal_Cd8+TCell_27781378	CD3D
H_Liver_Normal_Cd8+TCell_27781378	CD3E
H_Liver_Normal_Cd8+TCell_27781378	CD3G
H_Liver_Normal_Cd8+TCell_27781378	CD8A
H_Liver_Normal_Monocyte_27781378	CD14
H_Liver_Normal_DendriticCell_27781378	ITGAX
H_Liver_Normal_DendriticCell_27781378	HLA-DR family
H_Liver_Normal_NaturalKillerCell_27781378	FCGR3A
H_Liver_Normal_NaturalKillerCell_27781378	FCGR3B
H_Liver_Normal_BCell_27781378	CD19
H_Liver_Normal_BCell_27781378	MS4A1
H_Stomach_GastricCancer_CancerStemCell_24618343	CD44
H_PeriodontalLigament_Normal_PeriodontalStemCell_24370188	NA
H_PeriodontalLigament_Normal_PeriodontalStemCell_24370188	NA
H_Blood_Normal_NaturalRegulatoryTTregCell_25088497	CD6
H_Blood_Normal_Foxp3+NaturalRegulatoryTTregCell_25088497	IL2RA
H_Blood_Normal_Foxp3+NaturalRegulatoryTTregCell_25088497	CD6
H_Blood_Normal_Foxp3+NaturalRegulatoryTTregCell_25088497	CD4
H_Stomach_GastricCancer_CancerStemCell_24062002	PROM1
H_PeripheralBlood_Normal_DendriticCell_29112895	CD83
H_AdiposeTissue_Normal_BeigeAdipogenicPrecursorCell_25197048	EBF2
H_AdiposeTissue_Normal_BrownAdipogenicPrecursorCell_25197048	EBF2
H_Blood_Normal_Platelet_27720831	CD14
H_Blood_Normal_Leukocyte_27720831	GP1BA
H_Liver_Normal_CytotoxicTCell_29117436	CD3D
